@id,name,shop,lng,lat
"node/358496357","Le Regal Fermier","farm",5.0398519,45.1617455
"node/369575933","Obsthof Hemmes","farm",8.0114411,49.9587815
"node/497928295","Menallack Farm","farm",-5.1510037,50.1375307
"node/564160011","Hofladen Fam. M. Oppliger (Self Service)","farm",7.6810829,46.762803
"node/589987224","Agriturismo La Schiavenza","farm",8.024021,45.4344284
"node/651905132","Ferme Gautard","farm",0.1861255,48.939315
"node/652148381","Fromagerie Les Fermiers Basco-Béarnais","farm",-0.6064925,42.9773892
"node/654055951","GAEC de la Forêt","farm",0.1843401,48.8524208
"node/660057763","La Godinière","farm",0.7247418,49.0104193
"node/679985219","Ferme de Cutesson","farm",0.2161612,48.9262834
"node/727679616","Ferme de Coubertin","farm",2.056642,48.7018954
"node/747359172","Kern's Hofladen","farm",8.053603,48.5924072
"node/748143517","Rettig's Hofladen","farm",8.0632798,48.596674
"node/772478065","Schätzles Hofladen","farm",8.0733838,48.2938427
"node/778673090","Fromagerie","farm",4.6368224,45.4700377
"node/832841300","Anett's Buurelade","farm",7.7917707,47.594472
"node/837633668","Chèvrerie de Baradozic","farm",-4.3183352,48.4527782
"node/850017624","Les Cabannes","farm",1.1398183,45.0128561
"node/853050556","Ferme Le Petit Potager","farm",-3.0922835,47.5833051
"node/864612541","Yann Pierrel - producteur de légumes","farm",6.7264516,47.9748952
"node/864612542","undefined","farm",6.7263048,47.975203
"node/912404632","Domaine des Cheminières","farm",1.9917528,43.2956653
"node/993625115","La Chèvre Rit","farm",-1.0717478,46.2060484
"node/1010929949","undefined","farm",1.852181,43.1959129
"node/1012110163","Les Jardins de Saint-Sernin","farm",1.6702465,43.4409617
"node/1024092172","Fromages de chèvre De Belay","farm",6.8379712,43.5859722
"node/1082693943","Obsthof & Brennerei Weber","farm",8.0639495,48.5968686
"node/1127803186","La croisée des Fermes","farm",4.8411873,45.6392105
"node/1167803180","La Baronnie","farm",-0.1809222,48.7563198
"node/1205602479","La ferme Rabillier","farm",-1.1020603,46.2867275
"node/1209423993","undefined","farm",4.7008122,45.910466
"node/1248152194","undefined","farm",-3.4734255,37.9992355
"node/1248152236","undefined","farm",-3.4744458,38.0019199
"node/1248152254","undefined","farm",-3.4714106,38.0033645
"node/1248152261","undefined","farm",-3.4737552,37.9993825
"node/1277992863","Mrs Watts' Farm Produce","farm",-6.2990273,49.9177028
"node/1306754339","Ferme les Étamines","farm",-1.3500916,47.0604088
"node/1315331842","Fromagerie Durand","farm",0.1558318,48.8809723
"node/1328733386","Gautard frères","farm",0.1615973,48.9393434
"node/1357024118","Ferme Cueillette de Tréboul","farm",2.03351,43.2728877
"node/1392808050","undefined","farm",4.706366,45.9153928
"node/1400258120","Le Clos du Mont","farm",3.1877821,45.4580802
"node/1403737737","Weingut Fernand Cina S.A.","farm",7.5760695,46.310567
"node/1405374943","Vergers","farm",0.1112708,48.9144623
"node/1410987794","Queso Convento Tórtoles de Esgueva","farm",-4.0220528,41.8193996
"node/1419366251","undefined","farm",2.1224921,48.7990544
"node/1419366252","undefined","farm",2.2473001,48.8068384
"node/1419366253","undefined","farm",2.0872323,49.0247263
"node/1422293473","Haxaire","farm",7.1820768,48.1445768
"node/1429152963","Vulkanhof","farm",6.9143593,50.1285862
"node/1448496573","Etter Gemüse und Jungpflanzen","farm",7.182954,46.9553792
"node/1478921414","Ferme des Pampilles","farm",0.3426445,48.774643
"node/1490603302","Cal Anzi","farm",1.9667482,41.4131502
"node/1539654882","Ferme Grandemange","farm",6.7892708,48.0813288
"node/1576102852","Bauernladen Otten","farm",6.9214063,50.1103382
"node/1578742587","Ferme attitude","farm",1.4495942,43.6009504
"node/1582764259","Walthers Naturgut","farm",7.5503415,49.1534249
"node/1585231985","Vogtshof Lädele","farm",7.8969598,48.0316373
"node/1594835013","Fromagerie La Ligne Bleu","farm",7.4749871,49.1489577
"node/1611780765","Vente à la Ferme","farm",0.1730805,48.9582348
"node/1688188247","L'Escargotière","farm",0.3136593,48.8368267
"node/1728448665","EARL de la Montagne","farm",6.4749692,47.871637
"node/1756000910","Marché Fermier","farm",0.6464026,48.1844131
"node/1761235197","undefined","farm",7.15254,49.4780209
"node/1780523985","undefined","farm",6.1379105,43.9218952
"node/1812650141","Ferme de la Cré","farm",4.5455354,46.6133032
"node/1814887992","La ferme de Philippe","farm",4.4752974,49.1588366
"node/1829773990","Ferme Alain LAURENT","farm",6.7919808,47.9769007
"node/1836506659","GAEC de la Chèvrerie des Filletières","farm",4.684231,46.6679937
"node/1836506749","undefined","farm",4.6819555,46.6709333
"node/1840384244","Marché fermier","farm",0.0418891,45.2726397
"node/1846268535","Ferme de la Roche Martel","farm",0.6504008,47.6156378
"node/1853218626","Cidrerie Benoit-Bouvier","farm",-2.5123268,48.4850526
"node/1864170543","Ferme de la Pereire","farm",3.083896,45.6747029
"node/1864174206","GAEC des 13 Vents","farm",3.0325752,45.694895
"node/1865786350","Ferme de Fons des Ores","farm",3.1759835,45.5005618
"node/1865786378","La Ferme des Terres Creuses","farm",3.4562108,45.5916754
"node/1865786382","Marie et Vincent Tricot","farm",3.1671011,45.7021185
"node/1885961991","Distillerie Henri Gros","farm",0.4206473,44.2634893
"node/1908040716","Cout-Circuit magasin de producteurs","farm",-3.5592015,47.8156148
"node/1908052737","Glaces","farm",-3.5421028,47.7930106
"node/1945930693","La Ferme de Levallois","farm",2.2772248,48.8928636
"node/1945985889","Coopérative fromagère Jeune Montagne","farm",2.8520356,44.6872978
"node/1949102477","Au Paradis des Poules","farm",8.053771,48.840566
"node/1949102478","Chez Murielle","farm",8.0559629,48.8439678
"node/1960743994","Souleilles, Le Musée du Foie Gras","farm",0.8433006,44.3323274
"node/1989596613","La Ferme du Spahi","farm",2.2372933,48.9366821
"node/2026167210","Gaec du Cheiron","farm",7.0599768,43.7916028
"node/2075921033","undefined","farm",-4.269066,48.5768399
"node/2077449513","Obstparadies","farm",7.7189166,47.8885744
"node/2086097437","undefined","farm",-4.5498635,48.4827155
"node/2126340653","La Petite Fermière","farm",2.5070183,46.7221842
"node/2166794229","Bourgueil Jean-Marie Armirault","farm",0.2236575,47.2941772
"node/2166812605","GAEC Gauthier Pierre et Rodolphe","farm",0.2239299,47.2934409
"node/2166836662","EARL Deschamps Christophe","farm",0.2231074,47.2902433
"node/2166836675","La Fontaine aux Fougères","farm",0.2228997,47.29031
"node/2173825907","Logis de la Pataudière","farm",0.3207774,47.0381741
"node/2174186976","La Fermière","farm",5.5935197,45.1273227
"node/2191776397","undefined","farm",-2.3321545,42.894181
