Nom du fromage;Ferme / adresse;code postal;ville;poids (g);mat. grasses
Selles sur Cher;Fromagers de tradition / Triballat;41130;Selles sur Cher;150;
Crottin de Chavignol;Laiteries Triballat;18220;Rians;60;
Crottin de Chavignol;Fromageries Triballat;18220;Rians;60;
Bouchon de Sancerre;Fromageries Triballat;18220;Rians;25;45
Crottin de Chavignol;Fromageries Triballat;18220;Rians;60;
Cabri;Fromageries Triballat;18220;Rians;200;45
Chevre Essui;Fromageries Triballat;18220;Rians;125;45
Pur chèvre du Sancerrois;Pasdeloup;18240;Léré;110;45
Selles sur Cher;Fromagerie d'Anjouin;36210;Anjouin;150;
Crottin de Chavignol;B. de Renty / Les Grands;18410;Argent Sur Sauldre;60;
Crottin d'Orval;Laiteries d'Orval;18200;St Amand;70;45
Cabri du Berry;Fromagerie Hubert Triballat;18220;Rians;150;45
Crottin de Chavignol;Dubois - Boulay;18000;Chavignol;60;
Le petit Berrichon;Laiterie Faucard;18000;Brecy;100;45
Le petit Billy;Triballat Noyal;35530;Noyal sur Vilaine;200;45
Cabri;Bougon;16440;Claix;175;45
Crottin de Chavignol;Fromagerie Cl. Crochet / Affineur Bué;18300;Sancerre;60;
Le Fanchon du Gâtinais;Guillon producteur / Le bois des haies;45290;Varennes - Changy;;45
Le Fanchon du Gâtinais;P. Allard / Les Chapoutins;89270;Essert;;45
Le Naudinou;Fromagerie Monuet;63580;Saint Martin d'Ollières;240;45
Fromage de chèvre fermier de montagne;Le pré Laval;63850;Espinchal;;
Clacbitou;La Racotière;71000;Génelard;;45
Fromage de chèvre fermier;Montrachet.S-A;71460;Saint Gengoux;;45
Le cendré de Bosgouët;Elevage caprin de l'Aubryère / François Hue-Hermier;27310;Bourg-Achard;;45
Chèvre-feuille;Eric Schachner / Place Guen;56110;Gourin;;
Le Ronsard;Jacquelin / Moulin de la Ronce / Champrond;72320;Vibraye;;45
Fromage de chèvre fermier ;Claude Bourocher / Buchène;49320;Saint Jean des Mauvrets;150;45
